,Afin3,Afin4,Afin5,Afin6,Afin7,Afin8,Frach050,Frach100,Frach150,Frach200,Frach250,Fracs05,Fracs10,Fracs20,Fracs30,Fracs40,Fracs50,Perm18,Perm19,Perm20,Perm21,Perm22,Perm23
Ads00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Ads05,194720000.0,192390000.0,187820000.0,182390000.0,176690000.0,170990000.0,125730000.0,144690000.0,163720000.0,182900000.0,199430000.0,52633000.0,102100000.0,182900000.0,235720000.0,265730000.0,280520000.0,973020000.0,973020000.0,973020000.0,645200000.0,183060000.0,60962000.0
Ads10,281750000.0,279280000.0,273710000.0,266970000.0,259830000.0,252720000.0,162540000.0,202260000.0,236440000.0,267600000.0,295880000.0,84800000.0,159180000.0,267600000.0,324360000.0,346740000.0,350820000.0,1946000000.0,1946000000.0,1945400000.0,854130000.0,267850000.0,82347000.0
Ads15,347910000.0,345120000.0,338530000.0,330480000.0,321980000.0,313510000.0,186960000.0,242580000.0,,331230000.0,371640000.0,110980000.0,205060000.0,331230000.0,385810000.0,398740000.0,394480000.0,2919100000.0,2919100000.0,2903700000.0,1010400000.0,331550000.0,95584000.0
Ads20,403430000.0,400360000.0,392890000.0,383720000.0,374030000.0,364360000.0,205450000.0,273910000.0,330030000.0,384580000.0,436730000.0,134610000.0,245810000.0,384580000.0,434020000.0,437640000.0,427550000.0,3892100000.0,3892100000.0,3804200000.0,1155000000.0,384950000.0,105690000.0
Ads25,451850000.0,448690000.0,440520000.0,430390000.0,419670000.0,408950000.0,220340000.0,299770000.0,365760000.0,431350000.0,494790000.0,156730000.0,283330000.0,431350000.0,473740000.0,469090000.0,455270000.0,4865100000.0,4865100000.0,4600800000.0,1291200000.0,431770000.0,114450000.0
Ads30,494900000.0,491820000.0,483190000.0,472320000.0,460730000.0,449070000.0,232800000.0,321930000.0,397260000.0,473350000.0,547570000.0,177800000.0,318530000.0,473350000.0,507500000.0,495880000.0,479880000.0,5838100000.0,5838100000.0,5274100000.0,1419200000.0,473810000.0,122500000.0
Ads35,533630000.0,530790000.0,521890000.0,510480000.0,498170000.0,485760000.0,243520000.0,341370000.0,425500000.0,511560000.0,596050000.0,198080000.0,351940000.0,511560000.0,536870000.0,519570000.0,502540000.0,6811200000.0,6811200000.0,5830800000.0,1539400000.0,512070000.0,130120000.0
Ads40,568770000.0,566280000.0,557270000.0,545480000.0,532640000.0,519610000.0,252900000.0,358720000.0,451130000.0,546600000.0,640920000.0,217740000.0,383870000.0,546600000.0,562840000.0,541120000.0,523870000.0,7784200000.0,7784200000.0,6288100000.0,1652500000.0,547150000.0,137430000.0
Ads45,600830000.0,598800000.0,589810000.0,577790000.0,564560000.0,551030000.0,261240000.0,374420000.0,474600000.0,578930000.0,682600000.0,236880000.0,414540000.0,578930000.0,586210000.0,561110000.0,544200000.0,8757200000.0,8757200000.0,6666900000.0,1759400000.0,579530000.0,144460000.0
Ads50,630240000.0,628720000.0,619870000.0,607750000.0,594250000.0,580340000.0,268760000.0,388770000.0,496220000.0,608920000.0,721380000.0,255600000.0,444140000.0,608920000.0,607510000.0,579960000.0,563750000.0,9730200000.0,9730200000.0,6985800000.0,1860800000.0,609560000.0,151260000.0
Ads55,657350000.0,656370000.0,647770000.0,635610000.0,621970000.0,607780000.0,275600000.0,401980000.0,516240000.0,636790000.0,757550000.0,273930000.0,472800000.0,636790000.0,627140000.0,597910000.0,582660000.0,10703000000.0,10703000000.0,7260000000.0,1957300000.0,637470000.0,157810000.0
Ads60,682420000.0,682030000.0,673710000.0,661660000.0,647890000.0,633550000.0,281900000.0,414210000.0,534880000.0,662840000.0,791300000.0,291930000.0,500630000.0,662840000.0,645470000.0,615180000.0,601000000.0,11676000000.0,11676000000.0,7500900000.0,2049800000.0,663560000.0,164150000.0
Ads65,705720000.0,705890000.0,697900000.0,685970000.0,672250000.0,657750000.0,287720000.0,425660000.0,552340000.0,687150000.0,822850000.0,309650000.0,527720000.0,687150000.0,662700000.0,631890000.0,618860000.0,12649000000.0,12649000000.0,7717000000.0,2138500000.0,687910000.0,170280000.0
Ads70,727550000.0,728180000.0,720550000.0,708830000.0,695160000.0,680630000.0,293150000.0,436350000.0,568680000.0,710000000.0,852360000.0,327100000.0,554140000.0,710000000.0,679040000.0,648130000.0,636240000.0,13622000000.0,13622000000.0,7914700000.0,2223800000.0,710800000.0,176220000.0
Ads75,748010000.0,749060000.0,741780000.0,730300000.0,716750000.0,702230000.0,298250000.0,446430000.0,584120000.0,731450000.0,880070000.0,344320000.0,579940000.0,731450000.0,694630000.0,663940000.0,653190000.0,14595000000.0,14595000000.0,8098500000.0,2306300000.0,732290000.0,181980000.0
Ads80,767320000.0,768780000.0,761780000.0,750550000.0,737120000.0,722630000.0,303060000.0,455980000.0,598670000.0,751670000.0,906110000.0,361330000.0,605130000.0,751670000.0,709610000.0,679430000.0,669740000.0,15568000000.0,15568000000.0,8272000000.0,2386000000.0,752540000.0,187570000.0
Ads85,785550000.0,787380000.0,780630000.0,769630000.0,756390000.0,741990000.0,307610000.0,465030000.0,612460000.0,770740000.0,930630000.0,378140000.0,629840000.0,770740000.0,724060000.0,694590000.0,685950000.0,16541000000.0,16541000000.0,8437700000.0,2463300000.0,771650000.0,192990000.0
Ads90,802920000.0,805040000.0,798550000.0,787740000.0,774660000.0,760370000.0,311950000.0,473660000.0,625570000.0,788830000.0,953810000.0,394760000.0,654080000.0,788830000.0,738080000.0,709460000.0,701770000.0,17514000000.0,17514000000.0,8597500000.0,2538400000.0,789770000.0,198270000.0
Ads95,819470000.0,821810000.0,815550000.0,804890000.0,791990000.0,777880000.0,316100000.0,481910000.0,638050000.0,805970000.0,975730000.0,411220000.0,677840000.0,805970000.0,751700000.0,724060000.0,717260000.0,18487000000.0,18485000000.0,8752700000.0,2611500000.0,806940000.0,203410000.0
