,Afin3,Afin4,Afin5,Afin6,Afin7,Afin8,Frach050,Frach100,Frach150,Frach200,Frach250,Fracs05,Fracs10,Fracs20,Fracs30,Fracs40,Fracs50,Perm18,Perm19,Perm20,Perm21,Perm22,Perm23
Ads00,5264400000.0,5264400000.0,,5264400000.0,5264400000.0,5264400000.0,,6688200000.0,6001700000.0,5264400000.0,4841700000.0,850470000.0,2116000000.0,5264400000.0,8705500000.0,12201000000.0,15682000000.0,6829500000.0,6829500000.0,,,5267700000.0,2750800000.0
Ads05,2016000000.0,2129100000.0,2235100000.0,2333200000.0,2423900000.0,2507800000.0,1841800000.0,1997800000.0,2153700000.0,2324700000.0,2476400000.0,616830000.0,1229000000.0,2324700000.0,3182700000.0,3806100000.0,4238900000.0,7802500000.0,7802500000.0,7802500000.0,6486700000.0,2326800000.0,789240000.0
Ads10,1602400000.0,1689400000.0,1771200000.0,1847900000.0,1919700000.0,1987300000.0,1307600000.0,1511000000.0,1684700000.0,1841200000.0,1977500000.0,534620000.0,1028600000.0,1841200000.0,2393500000.0,2732100000.0,2923300000.0,8775500000.0,8775500000.0,8774100000.0,5485500000.0,1842900000.0,593650000.0
Ads15,1436100000.0,1508000000.0,1574700000.0,1637000000.0,1695600000.0,1751000000.0,1083100000.0,1300900000.0,,1631600000.0,1774100000.0,497720000.0,943180000.0,1631600000.0,2047800000.0,2265000000.0,2363900000.0,9748500000.0,9748500000.0,9722200000.0,4888400000.0,1633100000.0,504900000.0
Ads20,1351100000.0,1413400000.0,1470200000.0,1522800000.0,1572100000.0,1618700000.0,955240000.0,1179300000.0,1355000000.0,1518200000.0,1669900000.0,481590000.0,902770000.0,1518200000.0,1851000000.0,1997100000.0,2048600000.0,10722000000.0,10722000000.0,10585000000.0,4545600000.0,1519600000.0,452660000.0
Ads25,1302600000.0,1358500000.0,1408300000.0,1453800000.0,1496400000.0,1536500000.0,871450000.0,1099400000.0,1278900000.0,1449900000.0,1611200000.0,476120000.0,884150000.0,1449900000.0,1723000000.0,1821700000.0,1846000000.0,11695000000.0,11695000000.0,11311000000.0,4341900000.0,1451300000.0,418730000.0
Ads30,1273400000.0,1324700000.0,1369500000.0,1409800000.0,1447100000.0,1482200000.0,811910000.0,1042900000.0,1227300000.0,1406300000.0,1576900000.0,476700000.0,877630000.0,1406300000.0,1632700000.0,1697800000.0,1705900000.0,12668000000.0,12668000000.0,11883000000.0,4217300000.0,1407700000.0,395550000.0
Ads35,1255300000.0,1303400000.0,1344300000.0,1380600000.0,1413900000.0,1445100000.0,767240000.0,1001000000.0,1190600000.0,1377500000.0,1556900000.0,481020000.0,878450000.0,1377500000.0,1565500000.0,1606100000.0,1604200000.0,13641000000.0,13641000000.0,12316000000.0,4140600000.0,1378900000.0,379250000.0
Ads40,1244200000.0,1289800000.0,1327800000.0,1361000000.0,1391100000.0,1419100000.0,732430000.0,968790000.0,1163700000.0,1358200000.0,1546100000.0,487790000.0,883960000.0,1358200000.0,1513500000.0,1535900000.0,1528200000.0,14614000000.0,14614000000.0,12635000000.0,4094400000.0,1359500000.0,367590000.0
Ads45,1237500000.0,1281200000.0,1317000000.0,1347700000.0,1375300000.0,1400600000.0,704510000.0,943490000.0,1143600000.0,1345100000.0,1541100000.0,496240000.0,892660000.0,1345100000.0,1472300000.0,1481000000.0,1470000000.0,15587000000.0,15587000000.0,12868000000.0,4068900000.0,1346500000.0,359180000.0
Ads50,1233700000.0,1276100000.0,1310100000.0,1338900000.0,1364300000.0,1387500000.0,681630000.0,923200000.0,1128200000.0,1336400000.0,1539900000.0,505900000.0,903560000.0,1336400000.0,1439100000.0,1437500000.0,1424800000.0,16560000000.0,16560000000.0,13038000000.0,4057900000.0,1337800000.0,353110000.0
Ads55,1232000000.0,1273300000.0,1305900000.0,1333000000.0,1356800000.0,1378200000.0,662570000.0,906640000.0,1116300000.0,1330800000.0,1541300000.0,516440000.0,916050000.0,1330800000.0,1411800000.0,1402600000.0,1389200000.0,17533000000.0,17533000000.0,13163000000.0,4057400000.0,1332100000.0,348770000.0
Ads60,1231700000.0,1272200000.0,1303600000.0,1329500000.0,1351800000.0,1371800000.0,646460000.0,892950000.0,1107000000.0,1327400000.0,1544400000.0,527640000.0,929720000.0,1327400000.0,1389300000.0,1374400000.0,1361100000.0,18506000000.0,18506000000.0,13257000000.0,4065000000.0,1328700000.0,345730000.0
Ads65,1232300000.0,1272100000.0,1302700000.0,1327500000.0,1348700000.0,1367400000.0,632690000.0,881580000.0,1099700000.0,1325500000.0,1548500000.0,539340000.0,944250000.0,1325500000.0,1370600000.0,1351600000.0,1338800000.0,19479000000.0,19479000000.0,13330000000.0,4078500000.0,1326900000.0,343680000.0
Ads70,1233800000.0,1273000000.0,1302800000.0,1326800000.0,1347000000.0,1364600000.0,620810000.0,871980000.0,1094000000.0,1324800000.0,1553300000.0,551430000.0,959420000.0,1324800000.0,1355100000.0,1333100000.0,1321100000.0,20452000000.0,20452000000.0,13389000000.0,4096700000.0,1326200000.0,342410000.0
Ads75,1235900000.0,1274400000.0,1303600000.0,1326900000.0,1346300000.0,1363100000.0,610490000.0,863890000.0,1089500000.0,1325000000.0,1558600000.0,563830000.0,975070000.0,1325000000.0,1342100000.0,1318200000.0,1307100000.0,21425000000.0,21425000000.0,13440000000.0,4118800000.0,1326400000.0,341760000.0
Ads80,1238400000.0,1276400000.0,1305000000.0,1327700000.0,1346400000.0,1362300000.0,601460000.0,857040000.0,1086100000.0,1325800000.0,1564100000.0,576470000.0,991030000.0,1325800000.0,1331400000.0,1306300000.0,1296000000.0,22398000000.0,22398000000.0,13487000000.0,4143700000.0,1327300000.0,341610000.0
Ads85,1241300000.0,1278800000.0,1306800000.0,1328900000.0,1347000000.0,1362400000.0,593530000.0,851190000.0,1083400000.0,1327100000.0,1569700000.0,589300000.0,1007300000.0,1327100000.0,1322500000.0,1296800000.0,1287500000.0,23371000000.0,23370000000.0,13531000000.0,4171000000.0,1328600000.0,341840000.0
Ads90,1244500000.0,1281500000.0,1309000000.0,1330600000.0,1348200000.0,1363000000.0,586520000.0,846220000.0,1081400000.0,1328800000.0,1575300000.0,602280000.0,1023800000.0,1328800000.0,1315300000.0,1289400000.0,1281100000.0,24344000000.0,24343000000.0,13575000000.0,4200200000.0,1330300000.0,342400000.0
Ads95,1248000000.0,1284400000.0,1311400000.0,1332500000.0,1349600000.0,1364000000.0,580310000.0,841980000.0,1080000000.0,1330800000.0,1581000000.0,615370000.0,1040300000.0,1330800000.0,1309500000.0,1283700000.0,1276300000.0,25317000000.0,25314000000.0,13620000000.0,4231000000.0,1332300000.0,343230000.0
