,Afin3,Afin4,Afin5,Afin6,Afin7,Afin8,Frach050,Frach100,Frach150,Frach200,Frach250,Fracs05,Fracs10,Fracs20,Fracs30,Fracs40,Fracs50,Perm18,Perm19,Perm20,Perm21,Perm22,Perm23
Ads00,0.6434123686140308,0.6434123686140308,,0.6434123686140308,0.6434123686140308,0.6434123686140308,,0.8174185111401718,0.7335158455653195,0.6434123686140308,0.5917574157591757,0.41575576847868595,0.5172203074967613,0.6434123686140308,0.7093212743420516,0.745600097775605,0.7666585186995845,0.834698117819604,0.834698117819604,,,0.6438156929846004,0.3362014177462723
Ads05,0.20177958382960834,0.21015694403316554,0.21857031097203208,0.22663428848955805,0.23426113849424954,0.24143641089823817,0.17900670619107786,0.1941685294975216,0.20932063368646128,0.22594032461852465,0.2406842258722908,0.23978774685118956,0.238886621182965,0.22594032461852465,0.20621355449008683,0.18495966566235786,0.16479026552112894,0.758334143259792,0.758334143259792,0.758334143259792,0.6304499951404412,0.22614442608611138,0.07670716298960055
Ads10,0.13579661016949152,0.13985099337748344,0.1443520782396088,0.1489401144515193,0.15344097194468867,0.15782242693773824,0.10547713156408808,0.12188432685327096,0.13589578123739615,0.14851980317818828,0.15952726686027752,0.17249701545510276,0.16594872787699852,0.14851980317818828,0.12871739714977146,0.11019642641068043,0.09432738536994612,0.7078728724691458,0.7078728724691458,0.7077599419214327,0.4424860853432282,0.14865693312898282,0.047886585464225216
Ads15,0.10552575501506356,0.10749162449212346,0.11001117786782172,0.11274104683195592,0.11553556827473425,0.11833479759410691,0.07467595146166575,0.08969249862107005,,0.1124931053502482,0.12231798124655267,0.13726041752847412,0.13005791505791506,0.1124931053502482,0.0941257584114727,0.07808460026890061,0.06519484817562536,0.6721249310535025,0.6721249310535025,0.670311638168781,0.3370380584666299,0.1125965250965251,0.034811086596800885
Ads20,0.0876313399922169,0.08845359534388886,0.08987651302115172,0.09155293693260386,0.09335510688836104,0.09520084690936893,0.05750647161519475,0.0709951237132021,0.08157245198964541,0.09139726687135032,0.10052976942989585,0.11596474752582532,0.1086941340782123,0.09139726687135032,0.07428961310001606,0.06011378002528445,0.04933176005972018,0.6454758894708326,0.6454758894708326,0.6372283426644995,0.2736499909698393,0.09148154837156101,0.027250617060983685
Ads25,0.07560947295100999,0.07577532351628737,0.07652972502988806,0.07755668178180848,0.07873717442778216,0.07999271137026238,0.04655430311448261,0.05873176985950104,0.06832460732984293,0.07746019873918154,0.08607757239021263,0.10173939057224668,0.09446753496522176,0.07746019873918154,0.06136695515902696,0.04866171599529864,0.03944865904476974,0.6247996580831285,0.6247996580831285,0.604284645795491,0.23196388503045198,0.07753499305481355,0.022370445560423124
Ads30,0.0668907916163261,0.06664486592544147,0.06698131663895139,0.06759037299836992,0.06835939345269025,0.06921963293326484,0.03898540286180736,0.05007682704311918,0.058931143762604436,0.06752616921156247,0.07572148859543817,0.09155687012637806,0.08428214731585518,0.06752616921156247,0.05226647032460465,0.040762526710042976,0.03276607187445979,0.6082781138960914,0.6082781138960914,0.5705848458657448,0.20250168059156823,0.06759339287429175,0.018993085566119273
Ads35,0.06021778758514823,0.059717767799871715,0.059773232547799024,0.06010448410970832,0.06059398302905631,0.061186383266999746,0.03345571883312257,0.04364889024549776,0.05191645227401561,0.06006628003314002,0.06788906815506039,0.08389639836051277,0.07660678468649167,0.06006628003314002,0.0455100438966249,0.035017987572222825,0.027981371334879906,0.5948196921466882,0.5948196921466882,0.5370426895739764,0.1805520429076004,0.06012732743208477,0.01653730432128374
Ads40,0.0549194438313838,0.05425026288117771,0.0541208119344583,0.05425985727385082,0.0545572201741313,0.054954885179878406,0.029249231260732398,0.038689696485623,0.04647364217252396,0.05424121405750799,0.06174520766773163,0.07791799115058384,0.0706038338658147,0.05424121405750799,0.04029552715654952,0.030668929712460064,0.024412530551606255,0.583626198083067,0.583626198083067,0.5045926517571885,0.1635143769968051,0.054293130990415335,0.014680111821086262
Ads45,0.05058453237410072,0.04980562898460582,0.04955226126871849,0.04955508162965142,0.04971622745183096,0.049971457114314256,0.025950714601443936,0.034753573007219686,0.042126201790253066,0.049548753085055436,0.056768703724168416,0.07311517437491712,0.06576248710770591,0.049548753085055436,0.03615579185187004,0.02727741555236306,0.021659692343961808,0.5741702582237448,0.5741702582237448,0.4740118613474785,0.14988396507901425,0.049600324161049106,0.013230927911003058
Ads50,0.046956952003958434,0.0461135402739132,0.045772482705611066,0.045683772348846734,0.045740436517249475,0.04589356001719975,0.023299606904802598,0.03155699880362331,0.038564347974705177,0.045681080157238076,0.05263895535653244,0.06916871752802844,0.06177343269296506,0.045681080157238076,0.03279476778633608,0.02456886974653472,0.019481513891927368,0.5660570842591011,0.5660570842591011,0.4456674072808067,0.13870791317723466,0.045728935224747906,0.012070073491710819
Ads55,0.04387151912256962,0.04298494362298292,0.042583232790947924,0.04242385665637631,0.04241060265066267,0.042487206362907703,0.02112584893026815,0.028908870607741853,0.03559403099292137,0.042433518270518465,0.04914546266182004,0.06586572798694011,0.058417830495504114,0.042433518270518465,0.0300114791037796,0.02236181305103391,0.017718483750829038,0.5590523563548243,0.5590523563548243,0.4197117530769721,0.12937312671385753,0.04247496970856451,0.011120783113321854
Ads60,0.04120638319226523,0.04029519827695426,0.03985203754088839,0.039646329098825074,0.03957723386813444,0.03959704422122157,0.019314610098595756,0.026679115625933673,0.03307538319041501,0.03966058143356539,0.04614419313394484,0.06305750752904059,0.05555542276665671,0.03966058143356539,0.027673645001294742,0.020532432997699364,0.016267090544029066,0.5529295766231438,0.5529295766231438,0.39609788162179926,0.12145567540111746,0.0396994233469778,0.010329857480056171
Ads65,0.03887381703470032,0.03794934518659945,0.037482376636455185,0.037241205184312405,0.03713278819415765,0.03710819832288529,0.01778368046771791,0.024779492368665147,0.030910419653146694,0.037258263998201036,0.04352653474252305,0.06063747259542414,0.05308353946480773,0.037258263998201036,0.025683981710516453,0.018995952327411737,0.01505284461434675,0.547532044074657,0.547532044074657,0.37469080278839667,0.11464189341128851,0.037297616370586914,0.00966044524398471
Ads70,0.036818860041778576,0.03588948407104595,0.03540313595478138,0.03513864244286131,0.03500064960374172,0.03494136324064116,0.016474100413968792,0.02313926334783993,0.029030888440717547,0.03515550366203163,0.041220178860494124,0.058530139152770846,0.050919223012419065,0.03515550366203163,0.023973463069438303,0.0176881128345297,0.014023225203804349,0.5427237023670524,0.5427237023670524,0.3552966776350706,0.10871192017832502,0.035192654707568195,0.00908634964441142
Ads75,0.034992496956312465,0.03405756433897218,0.03356074453569498,0.033278992776886035,0.03311931119311193,0.03303764027242541,0.01534202854845195,0.021710688346611044,0.027380563443994872,0.03329898720816265,0.03916966148123947,0.05667658470879154,0.04900834338560515,0.03329898720816265,0.022486010119626042,0.01656425528706601,0.013139852828823033,0.5384383403282149,0.5384383403282149,0.33776482119072154,0.10351084416073987,0.03333417104370335,0.008588876881706918
Ads80,0.03335488041370394,0.032422271895956103,0.03191723530706581,0.03162395198170732,0.03144765730835708,0.031343180563224736,0.01435499653929688,0.020454903458316426,0.025922478399923624,0.03164351520358967,0.037331137524464174,0.05503293556085919,0.04730679268700177,0.03164351520358967,0.021184782089837224,0.015589235634584402,0.012373496276494176,0.5345839896892454,0.5345839896892454,0.32190080672108456,0.09889970881664996,0.03167931643515204,0.008153372476013174
Ads85,0.0318797031101523,0.03095094029092141,0.030439542521720903,0.030135836905004876,0.02994730874408057,0.029832052376885854,0.013487478980139071,0.019342589646866335,0.024619370085897378,0.03015793659811385,0.035670946483354164,0.05356298854753681,0.04578012089260555,0.03015793659811385,0.020035450248454732,0.014734689239859107,0.011703481501681665,0.5310987387796842,0.531076014089308,0.30748778547892286,0.09478468355868651,0.03019202363367799,0.007768208158163845
Ads90,0.030542875374269866,0.029619100448389037,0.029105058365758756,0.02879525633534593,0.028598095157287402,0.028470568575844925,0.012718913995749663,0.018351007308134364,0.023451087545811378,0.028816168976210612,0.034162473976405275,0.052240437158469946,0.044403001257752525,0.028816168976210612,0.019015744047188768,0.01398117626648161,0.01111294240111034,0.5279205430139007,0.5278988571552491,0.2943855311951077,0.0910849435083382,0.028848697764187973,0.007425238002298701
Ads95,0.02932675361297145,0.02840650226694681,0.027890852634041556,0.02757543148048508,0.027370812038614422,0.02723696559436091,0.012034383359946912,0.017460857302834865,0.022397345499792616,0.027598506843633346,0.03278790518260437,0.051042634372926346,0.043148071339693075,0.027598506843633346,0.018104771253577404,0.013311004883916257,0.010587308170883452,0.5250311074243053,0.5249688925756947,0.2824554126918291,0.0877436748237246,0.027629614267938616,0.0071180008295313145
